[_w p a s ]_w
[_w d̪ e k eː ]_w
[_w t̪ æ n uː ]_w
[_w e k ʋ a ]_w
[_w u d̪ u m ]_w
[_w a r t̪ a ]_w
[_w ɡ aː j a ]_w
[_w u p a t̪ ]_w
[_w t̪ e k a ]_w
[_w s i r a ]_w
[_w ɡ a ɖ u ]_w
[_w m a s a ]_w
[_w ʋ a nː a ]_w
[_w k a ʈ aː ]_w
[_w k æ p a ]_w
[_w s a nː a ]_w
[_w ɡ e s eː ]_w
[_w l a t̪ ]_w
[_w ʋ iː j a ]_w
[_w m i n ]_w
[_w i n d̪ i ]_w
[_w tʃ a n a ]_w
[_w dʒ aː l s ]_w
[_w s i d̪ eː ]_w
[_w b æ l a ]_w
[_w ɡ a t̪ː eː ]_w
[_w l a d̪ ]_w
[_w k i ʈː u ]_w
[_w p æ ⁿd̪ a ]_w
[_w ɡ a t̪ ]_w
[_w p aː p ]_w
[_w k u l a ]_w
[_w n æ ʋ a ]_w
[_w ʋ u n i ]_w
[_w dʒ ai n a ]_w
[_w d̪ e s a ]_w
[_w t̪ u n iː ]_w
[_w e k iː ]_w
[_w aː n a n ]_w
[_w k æː m a ]_w
[_w j oː ɡ a ]_w
[_w d̪ e nː eː ]_w
[_w k i n ]_w
[_w n au k aː ]_w
[_w a l p a ]_w
[_w i lː aː ]_w
[_w u k r a ]_w
[_w ɖ o n ]_w
[_w d̪ uː p a ]_w
[_w n i d̪ a ]_w
[_w p i ʈ i ]_w
[_w l a p aː ]_w
[_w b i m a ]_w
[_w ɡ a h a ]_w
[_w n i m a ]_w
[_w b aː l a ]_w
[_w b aː n a ]_w
[_w r æ t̪ iː ]_w
[_w p i j aː ]_w
[_w p oː ʈː u ]_w
[_w m æ t̪ i ]_w
[_w t̪ a d̪ a ]_w
[_w s a b aː ]_w
[_w p æ l uː ]_w
[_w b o t̪ a ]_w
[_w p æ t̪ː eː ]_w
[_w a s t̪ i ]_w
[_w s æ b æː ]_w
[_w d̪ u k a ]_w
[_w t̪ æ ʈ i ]_w
[_w n i ʋ ]_w
[_w ɡ r æː m ]_w
[_w r a dʒ u ]_w
[_w dʒ iː ʋ iː ]_w
[_w a p eː ]_w
[_w æ d̪ æ m ]_w
[_w b aː ʈ a ]_w
[_w s i t̪ eː ]_w
[_w t̪ i k eː ]_w
[_w oː n eː ]_w
[_w e k d̪ a ]_w
[_w a ʈ a ]_w
[_w j u t̪ ]_w
[_w k u ɖ i ]_w
[_w p aː k a ]_w
[_w e p aː ]_w
[_w dʒ iː ʋ a ]_w
[_w ʋ eː ɡ a ]_w
[_w s æː m a ]_w
[_w d̪ eː r iː ]_w
[_w d̪ a d̪ː a ]_w
[_w r a ɖ aː ]_w
[_w d̪ iː m eː ]_w
[_w j u d̪ː eː ]_w
[_w l a t̪ iː ]_w
[_w m a ɖ a ]_w
[_w t̪ i k ]_w
[_w k a t̪ː aː ]_w
[_w ʋ i t̪ eː ]_w
[_w d̪ aː t̪ u ]_w
[_w e n a ]_w
[_w l i j u ]_w
[_w ɡ a ʈ a ]_w
[_w a s aː ]_w
[_w o sː eː ]_w
[_w h æ ɡ i ]_w
[_w k i l oː ]_w
[_w d̪ iː m a ]_w
[_w a ʋ a k ]_w
[_w ʋ i s u ]_w
[_w ʋ a t̪ u ]_w
[_w b a s a ]_w
[_w h u r u ]_w
[_w u p a n ]_w
[_w æ t̪ː e n ]_w
[_w p o d̪ a ]_w
[_w ʋ u h a ]_w
[_w u r u m ]_w
[_w t̪ u ɡ a ]_w
[_w m a t̪ i ]_w
[_w m a ʈ u ]_w
[_w d̪ u n i ]_w
[_w tʃ aː l s ]_w
[_w p e n eː ]_w
[_w ɡ iː p a ]_w
[_w s i d̪ː a ]_w
[_w k a l f ]_w
[_w ɡ i ʋː aː ]_w
[_w a l u ]_w
[_w æ l a ]_w
[_w b a h u ]_w
[_w a n a n ]_w
[_w a p a ]_w
[_w dʒ a j a ]_w
[_w ʋ æ ʈ eː ]_w
[_w d̪ a t̪ a ]_w
[_w a t̪ u ]_w
[_w j a ɡ a ]_w
[_w n æ h æ ]_w
[_w t̪ iː r u ]_w
[_w t̪ a ʈː u ]_w
[_w s æ n ]_w
[_w r a ʈ eː ]_w
[_w l æ b a ]_w
[_w t̪ i b uː ]_w
[_w e ʋ a n ]_w
[_w j e t̪ eː ]_w
[_w m u l ]_w
[_w n a ɡ a ]_w
[_w s æ m a ]_w
[_w n aː s aː ]_w
[_w m u d̪ aː ]_w
[_w k a t̪ aː ]_w
[_w m i s a ]_w
[_w u t̪ a ʋ ]_w
[_w s ai l a ]_w
[_w s e n a ]_w
[_w d̪ u ʋ a ]_w
[_w m a d̪ u ]_w
[_w b i r i ]_w
[_w b i n ]_w
[_w a b i t̪ ]_w
[_w ʋ iː r a ]_w
[_w aː d̪ i ]_w
[_w t̪ æ n a ]_w
[_w n i s a ]_w
[_w ɡ æ b iː ]_w
[_w b oː l ]_w
[_w a ʋ i ]_w
[_w ɡ u r u ]_w
[_w ʋ e d̪ i ]_w
[_w a k a ]_w
[_w l a ʋ a ]_w
[_w oː n a ]_w
[_w p oː ɡ a ]_w
[_w p o d̪ u ]_w
[_w ɡ a l ]_w
[_w a n t̪ i ]_w
[_w d̪ eː h a ]_w
[_w h i s ]_w
[_w b i d̪ i ]_w
[_w ɡ o l a ]_w
[_w s i ʋ ]_w
[_w ɖ i ɡ a ]_w
[_w k u ʈ aː ]_w
[_w m æ ɖ a ]_w
[_w e lː a ]_w
[_w s i d̪ː i ]_w
[_w a ʃ ʋ a ]_w
[_w n a l a ]_w
[_w m æ s i ]_w
[_w b a s u ]_w
[_w s u d̪ u ]_w
[_w ʋ e nː a ]_w
[_w ʋ æ d̪ i ]_w
[_w e t̪ aː ]_w
[_w ʋ aː k eː ]_w
[_w p aː t̪ aː ]_w
[_w ʋ a s aː ]_w
[_w k aː dʒ a ]_w
[_w ʋ æ s iː ]_w
[_w p e d̪ aː ]_w
[_w ʋ i ɡ a ]_w
[_w i ʈ a ]_w
[_w s a l ]_w
[_w b o h oː ]_w
[_w b i j a ]_w
[_w o j aː t̪ ]_w
[_w p i ⁿd̪ a ]_w
[_w n æ t̪ a ]_w
[_w p i r iː ]_w
[_w p e t̪ aː ]_w
[_w b uː dʒ aː ]_w
[_w p a t̪ aː ]_w
[_w t̪ aː r aː ]_w
[_w ɡ u ɖ aː ]_w
[_w p a t̪ ]_w
[_w p aː ɡ a ]_w
[_w h æ r a ]_w
[_w ɡ a p u ]_w
[_w s u t̪ u ]_w
[_w e k e n ]_w
[_w ʋ e t̪ a ]_w
[_w ɡ æ m i ]_w
[_w ʋ iː t̪ i ]_w
[_w ʋ e n ]_w
[_w b æ ʋ ]_w
[_w aː r j a ]_w
[_w t̪ i k a ]_w
[_w r a d̪ a ]_w
[_w p u dʒ aː ]_w
[_w ɡ oː ʈː eː ]_w
[_w ʋ a ɡ a ]_w
[_w h i t̪ eː ]_w
[_w k u ʈ u ]_w
[_w m aː j aː ]_w
[_w k a nː a ]_w
[_w n æ t̪ː eː ]_w
[_w eː m a ]_w
[_w d̪ i ʋ i ]_w
[_w h æ ʈ a ]_w
[_w p eː l i ]_w
[_w d̪ æ n uː ]_w
[_w m e k iː ]_w
[_w d̪ æː ɡ i ]_w
[_w b a ʋ aː ]_w
[_w s i t̪ a ]_w
[_w iː ʈ a ]_w
[_w ʋ a ɡ aː ]_w
[_w i t̪ i ]_w
[_w m a n oː ]_w
[_w t̪ a t̪ ]_w
[_w eː k e n ]_w
[_w p i t̪ a ]_w
[_w r æ ⁿd̪ iː ]_w
[_w ɡ a d̪ a ]_w
[_w a ɡ a ]_w
[_w p a ɖ u ]_w
[_w l æ p a ]_w
[_w p æ n a ]_w
[_w l a d̪ː eː ]_w
[_w tʃ oː n ]_w
[_w m æː d̪ a ]_w
[_w u ʈ a ]_w
[_w n a k a ]_w
[_w a t̪ i ]_w
[_w h u n u ]_w
[_w ʃ a d̪ a ]_w
[_w a p i t̪ ]_w
[_w o b a ʈ ]_w
[_w u p a ]_w
[_w j a ʋ aː ]_w
[_w l o k u ]_w
[_w t̪ i sː a ]_w
[_w m eː d̪ a ]_w
[_w i ʈ u ]_w
[_w ɡ u ɖ i ]_w
[_w tʃ oː r dʒ ]_w
[_w b a j a ]_w
[_w e s eː d̪ ]_w
[_w ɡ i j eː ]_w
[_w m a d̪ i ]_w
[_w p i m a ]_w
[_w æ j i ]_w
[_w p æ ʋ ]_w
[_w a ʋ a d̪ ]_w
[_w t̪ a n aː ]_w
[_w m a n u ]_w
[_w d̪ aː r aː ]_w
[_w a j i s ]_w
[_w t̪ æ ʋ a ]_w
[_w a j a d̪ ]_w
[_w n æ k iː ]_w
[_w a h a s ]_w
[_w æ ɖ a ]_w
[_w d̪ a t̪ː a ]_w
[_w s u p a ]_w
[_w p i ɖ a ]_w
[_w ʃ aː ɡ a ]_w
[_w s eː t̪ a ]_w
[_w k iː d̪ a ]_w
[_w ɡ æ b a ]_w
[_w b i ɖ u ]_w
[_w n a ɡ aː ]_w
[_w t̪ eː ʋ a ]_w
[_w p i m eː ]_w
[_w r a t̪ u ]_w
[_w t̪ iː l aː ]_w
[_w ɡ iː m a ]_w
[_w ɡ aː oː ]_w
[_w j a j i ]_w
[_w i n d̪ a ]_w
[_w a t̪ a ]_w
[_w a ⁿd̪ a ]_w
[_w a ʋ a ɡ ]_w
[_w iː ɖ a d̪ ]_w
[_w a m a d̪ ]_w
[_w h a ɖ a ]_w
[_w d̪ a t̪ ]_w
[_w ʋ e nː eː ]_w
[_w u t̪ a m ]_w
[_w b æ d̪ iː ]_w
[_w p r a ]_w
[_w aː t̪ i ]_w
[_w ʋ a ɡ eː ]_w
[_w m u d̪ ]_w
[_w k a ⁿd̪ a ]_w
[_w k e n aː ]_w
[_w b e t̪ i ]_w
[_w k æ b a ]_w
[_w l u n u ]_w
[_w r oː d̪ a ]_w
[_w k a s ]_w
[_w ʋ eː t̪ a ]_w
[_w æ t̪ i ]_w
[_w m æː t̪ a ]_w
[_w t̪ a nː a ]_w
[_w ʈ e s ʈ ]_w
[_w b u r aː ]_w
[_w u b a n ]_w
[_w l a ɡ aː ]_w
[_w b u tʃ aː ]_w
[_w l æ p u ]_w
[_w b e d̪ aː ]_w
[_w d̪ i ɡ eː ]_w
[_w k aː n ]_w
[_w a ɡ a l ]_w
[_w d̪ æ r uː ]_w
[_w ɡ e n ]_w
[_w aː d̪ a m ]_w
[_w t̪ u nː aː ]_w
[_w b e n eː ]_w
[_w tʃ ai n a ]_w
[_w ʋ æ ʋ a ]_w
[_w m i t̪ iː ]_w
[_w a n i t̪ ]_w
[_w p e d̪ i ]_w
[_w b oː ʈː u ]_w
[_w p o r u ]_w
[_w s a d̪ ]_w
[_w b u t̪ a ]_w
[_w r a t̪ a ]_w
[_w k e n a ]_w
[_w p æ n i ]_w
[_w ʋ e s ]_w
[_w dʒ u l i ]_w
[_w æ d̪ iː ]_w
[_w s a ʋ i ]_w
[_w s a d̪ a ]_w
[_w t̪ e s a ]_w
[_w a d̪ i ]_w
[_w p eː r aː ]_w
[_w m a k a ]_w
[_w k i ʋː eː ]_w
[_w ɡ i n i ]_w
[_w d̪ u nː a ]_w
[_w t̪ o s ]_w
[_w d̪ æ k a ]_w
[_w ɡ æ n eː ]_w
[_w p u t̪ː i ]_w
[_w n o ʋ eː ]_w
[_w ɡ e n aː ]_w
[_w m a ʋ ]_w
[_w j a ɖ a ]_w
[_w d̪ o s ]_w
[_w a ʈ a k ]_w
[_w r a n ]_w
[_w ʋ a k eː ]_w
[_w h i t̪ iː ]_w
[_w b i ʈ u ]_w
[_w d̪ e k ]_w
[_w ʋ a d̪ aː ]_w
[_w p æ r i ]_w
[_w ʋ a d̪ a ]_w
[_w k u l iː ]_w
[_w ʋ e n i ]_w
[_w r a t̪ ]_w
[_w tʃ a j a ]_w
[_w k o j i ]_w
[_w ɖ i k a ]_w
[_w s aː d̪ aː ]_w
[_w æː t̪ i n ]_w
[_w p e d̪ eː ]_w
[_w k o ɖ a ]_w
[_w j a m ]_w
[_w ɡ u ɖ u ]_w
[_w b eː l i ]_w
[_w b o r u ]_w
[_w ɡ oː l a ]_w
[_w t̪ a ʈ a ]_w
[_w ʋ aː r a ]_w
[_w ɡ aː dʒ a ]_w
[_w t̪ i ɡ eː ]_w
[_w t̪ o k a ]_w
[_w d̪ æ j i ]_w
[_w s aː d̪ a ]_w
[_w n i t̪ i ]_w
[_w eː ɡ a ]_w
[_w t̪ a nː eː ]_w
[_w k aː ʈ ]_w
[_w r a l u ]_w
[_w ʋ æ ɖ eː ]_w
[_w b a t̪ ]_w
[_w s æ ɡ a ]_w
[_w k u ʈ i ]_w
[_w ʋ uː t̪ ]_w
[_w d̪ i r a ]_w
[_w ʋ a t̪ ]_w
[_w t̪ aː n a ]_w
[_w d̪ i k eː ]_w
[_w tʃ iː ʋ iː ]_w
[_w æ ɡ eː ]_w
[_w e l i ]_w
[_w s a ɖ a ]_w
[_w d̪ oː ʃ a ]_w
[_w b æ l uː ]_w
[_w h o t̪ ]_w
[_w t̪ aː p a ]_w
[_w ʋ i s uː ]_w
[_w n i l a ]_w
[_w l o m ]_w
[_w e h e d̪ ]_w
[_w t̪ e d̪ ]_w
[_w ɡ a ʋ a ]_w
[_w t̪ æ ɖ i ]_w
[_w b aː d̪ a ]_w
[_w h a ʈ a ]_w
[_w k a nː aː ]_w
[_w d̪ a ɖ a ]_w
[_w p i n i ]_w
[_w u ɖ i n ]_w
[_w r i dʒ u ]_w
[_w s eː k a ]_w
[_w ɖ e s ʈ ]_w
[_w s i ɖ i ]_w
[_w s æː d̪ iː ]_w
[_w d̪ i n aː ]_w
[_w d̪ a nː aː ]_w
[_w r æ d̪ iː ]_w
[_w l æ p iː ]_w
[_w d̪ a ʈː u ]_w
[_w j oː d̪ a ]_w
[_w m eː ʋ aː ]_w
[_w u ɖ u ]_w
[_w b i t̪ i ]_w
[_w b a t̪ aː ]_w
[_w ʋ e l a ]_w
[_w æ k eː ]_w
[_w b o d̪ a ]_w
[_w b e n iː ]_w
[_w ɡ a r aː ]_w
[_w dʒ oː r dʒ ]_w
[_w k æ p iː ]_w
[_w aː j u ]_w
[_w ɡ i l oː ]_w
[_w b aː b ]_w
[_w d̪ u ɡ a ]_w
[_w p u d̪ ]_w
[_w p u tʃ aː ]_w
[_w b a r a ]_w
[_w k æ m i ]_w
[_w i ɖ a ]_w
[_w iː ɖ a ]_w
[_w m i d̪ iː ]_w
[_w k a d̪ i ]_w
[_w tʃ iː ʋ a ]_w
[_w aː d̪ iː ]_w
[_w s eː d̪ a ]_w
[_w r e d̪ i ]_w
[_w d̪ æ n ]_w
[_w ɡ aː n ]_w
[_w b u d̪ a ]_w
[_w r oː k iː ]_w
[_w t̪ i ʋ aː ]_w
[_w ɡ i ʋ a ]_w
[_w d̪ a b aː ]_w
[_w n æ d̪ a ]_w
[_w b a d̪ a ]_w
[_w k e n ]_w
[_w b i r iː ]_w
[_w m a k eː ]_w
[_w j a d̪ ]_w
[_w tʃ u l i ]_w
[_w r i tʃ u ]_w
[_w ɡ u ʈ i ]_w
[_w d̪ aː p a ]_w
[_w b au d̪ː a ]_w
[_w k o n u ]_w
[_w ɡ e r eː ]_w
[_w b o l a ]_w
[_w d̪ aː r a ]_w
[_w p o t̪ eː ]_w
[_w k e ʈ i ]_w
[_w k a n iː ]_w
[_w p uː m i ]_w
[_w a n i ɡ ]_w
[_w a b eː ]_w
[_w j o m u ]_w
[_w l æ p eː ]_w
[_w aː n ʈ u ]_w
[_w ɡ a s aː ]_w
[_w æː d̪ i n ]_w
[_w e s eː t̪ ]_w
[_w l aː b a ]_w
[_w p æ s a ]_w
[_w m u t̪ ]_w
[_w p o l ]_w
[_w s aː t̪ aː ]_w
[_w a p i ]_w
[_w t̪ i j a ]_w
[_w t̪ a s a ]_w
[_w k i n i ]_w
[_w p e n iː ]_w
[_w d̪ e t̪ ]_w
[_w t̪ e j i ]_w
[_w b a d̪ː i ]_w
[_w b aː k a ]_w
[_w m a ʈ a ]_w
[_w p a t̪ː a ]_w
[_w k a m eː ]_w
[_w p u t̪ː a ]_w
[_w p a t̪ u ]_w
[_w s æː t̪ iː ]_w
[_w dʒ uː l i ]_w
[_w t̪ u ɖ u ]_w
[_w d̪ a ʈ a ]_w
[_w k u ɖ aː ]_w
[_w æ d̪ː a ]_w
[_w b r aː k ]_w
[_w d̪ iː r u ]_w
[_w ɡ aː l ]_w
[_w h e l a ]_w
[_w j u t̪ː eː ]_w
[_w t̪ æ r uː ]_w
[_w t̪ æ n ]_w
[_w b o t̪ u ]_w
[_w t̪ oː r aː ]_w
[_w p aː b ]_w
[_w i h a t̪ ]_w
[_w ɡ e ɖ i ]_w
[_w æː t̪ a ]_w
[_w t̪ a d̪ ]_w
[_w p aː h eː ]_w
[_w k a h a ]_w
[_w n a t̪ u ]_w
[_w d̪ iː l aː ]_w
[_w m aː t̪ a ]_w
[_w k a s a ]_w
[_w b e t̪ iː ]_w
[_w b aː p ]_w
[_w p u t̪ a ]_w
[_w o b a ]_w
[_w d̪ e l ]_w
[_w t̪ e m a ]_w
[_w d̪ oː r aː ]_w
[_w b i n i ]_w
[_w t̪ æ b uː ]_w
[_w k a b aː ]_w
[_w p oː l ]_w
[_w p a ʋ ]_w
[_w j a d̪ aː ]_w
[_w b i t̪ː i ]_w
[_w u b a t̪ ]_w
[_w a d̪ a t̪ ]_w
[_w j a m a ]_w
[_w t̪ a p aː ]_w
[_w a d̪ i n ]_w
[_w t̪ æ j i ]_w
[_w æ d̪ u m ]_w
[_w a r a n ]_w
[_w d̪ e m a ]_w
[_w dʒ ai ʋ a ]_w
[_w ɡ aː ʈ ]_w
[_w k a ɖ aː ]_w
[_w i nː a ]_w
[_w m æ j i ]_w
[_w ʃ u t̪ː a ]_w
[_w k a ʋ i ]_w
[_w æ d̪ a t̪ ]_w
[_w æ n ʈ ]_w
[_w dʒ oː l a ]_w
[_w d̪ o ɡ a ]_w
[_w k a d̪ ]_w
[_w h a ⁿɖ a ]_w
[_w n aː ʃ a ]_w
[_w r e t̪ i ]_w
[_w d̪ aː n a ]_w
[_w k a ⁿd̪ u ]_w
[_w dʒ i d̪ː a ]_w
[_w t̪ aː t̪ u ]_w
[_w d̪ aː b a ]_w
[_w b æ ⁿd̪ a ]_w
[_w b i j aː ]_w
[_w t̪ u k a ]_w
[_w æ d̪ː eː ]_w
[_w m a h aː ]_w
[_w l a d̪ iː ]_w
[_w b eː r aː ]_w
[_w d̪ æ p uː ]_w
[_w k aː ɖ ]_w
[_w i n t̪ u ]_w
[_w o pː u ]_w
[_w t̪ e nː aː ]_w
[_w p a d̪ ]_w
[_w ɡ a b aː ]_w
[_w ɡ a t̪ a ]_w
[_w k oː ʈː eː ]_w
[_w d̪ a d̪ ]_w
[_w b o d̪ ]_w
[_w t̪ e n a ]_w
[_w d̪ i p eː ]_w
[_w k i ʋ a ]_w
[_w ʋ e ʈ i ]_w
[_w t̪ e k ]_w
[_w e t̪ e k ]_w
[_w n æ ʋ ]_w
[_w b e d̪ eː ]_w
[_w k a ɖ a ]_w
[_w d̪ a p aː ]_w
[_w ɡ u ʈ u ]_w
[_w b o ʈ i ]_w
[_w ɡ a m ]_w
[_w m æ d̪ i ]_w
[_w d̪ u n iː ]_w
[_w p a d̪ u ]_w
[_w j u ʋ a ]_w
[_w s i d̪ aː ]_w
[_w b æ s a ]_w
[_w d̪ e nː a ]_w
[_w e t̪ i n ]_w
[_w tʃ aː n a ]_w
[_w t̪ æː ɡ i ]_w
[_w k a p u ]_w
[_w j oː p ]_w
[_w b u ʃ ]_w
[_w ɡ a n iː ]_w
[_w t̪ i ɡ a ]_w
[_w p iː ɖ aː ]_w
[_w b æ t̪ː eː ]_w
[_w a n i d̪ ]_w
[_w ʋ aː k ]_w
[_w b u r a ]_w
[_w b aː d̪ aː ]_w
[_w d̪ u nː aː ]_w
[_w d̪ æ ʈ i ]_w
[_w a b i ]_w
[_w t̪ u k ]_w
[_w æ t̪ a d̪ ]_w
[_w b a s ]_w
[_w d̪ a s a ]_w
[_w b r a ]_w
[_w dʒ oː n ]_w
[_w d̪ i ɡ a ]_w
[_w ɡ a d̪ ]_w
[_w t̪ æ p uː ]_w
[_w d̪ i k ]_w
[_w p e t̪ iː ]_w
[_w b iː dʒ a ]_w
[_w ʋ a d̪ ]_w
[_w k a t̪ ]_w
[_w aː n t̪ i ]_w
[_w t̪ e nː eː ]_w
[_w ʃ a t̪ a ]_w
[_w b a j i ]_w
[_w a k ʃ i ]_w
[_w b o t̪ eː ]_w
[_w t̪ i p eː ]_w
[_w p e d̪ iː ]_w
[_w p u d̪ aː ]_w
[_w t̪ i p iː ]_w
[_w s a d̪ i ]_w
[_w d̪ a ᵐb a ]_w
[_w p i d̪ a ]_w
[_w p e t̪ eː ]_w
[_w b a t̪ u ]_w
[_w a ʈ a ɡ ]_w
[_w aː n d̪ i ]_w
[_w tʃ ai ʋ a ]_w
[_w d̪ e n u ]_w
[_w h i d̪ eː ]_w
[_w ɡ a t̪ u ]_w
[_w b u d̪ ]_w
[_w b iː ɖ aː ]_w
[_w l e ʈ a ]_w
[_w t̪ aː b a ]_w
[_w b oː t̪ i ]_w
[_w a b i d̪ ]_w
[_w m a ɖ u ]_w
[_w s eː ɡ a ]_w
[_w ɡ a t̪ː aː ]_w
[_w b a d̪ i ]_w
[_w b u t̪ aː ]_w
[_w r a d̪ aː ]_w
[_w n a t̪ a ]_w
[_w u b a d̪ ]_w
[_w ɡ oː b i ]_w
[_w o b a d̪ ]_w
[_w h æ d̪ i ]_w
[_w t̪ eː r iː ]_w
[_w k r æː m ]_w
[_w p i m ]_w
[_w p u d̪ː a ]_w
[_w p o d̪ eː ]_w
[_w i n t̪ a ]_w
[_w t̪ a ɖ a ]_w
[_w u t̪ u m ]_w
[_w t̪ e nː a ]_w
[_w u k a d̪ ]_w
[_w t̪ u ɡ ]_w
[_w ɡ i ʋː eː ]_w
[_w e t̪ æ n ]_w
[_w e d̪ aː ]_w
[_w k a s aː ]_w
[_w oː n æː ]_w
[_w ɡ u l iː ]_w
[_w k aː j a ]_w
[_w n aː ɡ a ]_w
[_w t̪ e l ]_w
[_w b æ n i ]_w
[_w b o t̪ ]_w
[_w e h e t̪ ]_w
[_w b r aː ɡ ]_w
[_w p oː t̪ i ]_w
[_w ɡ æ p a ]_w
[_w a ɖ a ]_w
[_w l e ɖ a ]_w
[_w b o d̪ u ]_w
[_w b a sː eː ]_w
[_w l a ɡ ]_w
[_w d̪ u k ]_w
[_w b aː l i ]_w
[_w p u t̪ aː ]_w
[_w m a ɡ a ]_w
[_w i ɡ e n ]_w
[_w b aː h eː ]_w
[_w d̪ i ɡ u ]_w
[_w ʋ e b ]_w
[_w æ ʈ a ]_w
[_w a ɖ i ]_w
[_w r a ɖ eː ]_w
[_w ɡ iː t̪ a ]_w
[_w eː ɡ e n ]_w
[_w t̪ e t̪ ]_w
[_w p æ d̪ː eː ]_w
[_w m aː k eː ]_w
[_w b oː ɡ a ]_w
[_w d̪ i ɡ ]_w
[_w b i m eː ]_w
[_w b i d̪ː i ]_w
[_w o b a ɖ ]_w
[_w l o ɡ u ]_w
[_w j a t̪ ]_w
[_w h a t̪ aː ]_w
[_w n a p i ]_w
[_w t̪ a ᵐb a ]_w
[_w ɡ aː tʃ a ]_w
[_w k u ɖ u ]_w
[_w m aː ɡ eː ]_w
[_w i t̪ aː ]_w
[_w ɡ a m eː ]_w
[_w j oː k a ]_w
[_w ɡ i ʈː u ]_w
[_w b a t̪ i ]_w
[_w e t̪ u m ]_w
[_w b i d̪ a ]_w
[_w k oː b i ]_w
[_w ɡ æ l æː ]_w
[_w iː ʈ a d̪ ]_w
[_w b iː ʈ aː ]_w
[_w b e t̪ eː ]_w
[_w n a d̪ u ]_w
[_w ʈ i ɡ a ]_w
[_w p æ d̪ iː ]_w
[_w ɡ oː p i ]_w
[_w b i ⁿd̪ iː ]_w
[_w tʃ i t̪ː a ]_w
[_w ʋ iː d̪ i ]_w
[_w æ d̪ u n ]_w
[_w ʋ a ɖ a ]_w
[_w ɡ a b u ]_w
[_w b u d̪ aː ]_w
[_w r æ ɡ a ]_w
[_w p i ɖ u ]_w
[_w r iː d̪ i ]_w
[_w b aː t̪ aː ]_w
[_w ɡ a d̪ aː ]_w
[_w b e t̪ aː ]_w
[_w b oː k a ]_w
[_w r a d̪ u ]_w
[_w u ɡ a d̪ ]_w
[_w t̪ i p uː ]_w
[_w ʃ iː d̪ a ]_w
[_w m u t̪ aː ]_w
[_w ɡ oː ʃ a ]_w
[_w ɡ e ʈ i ]_w
[_w b u t̪ː a ]_w
[_w l æ p uː ]_w
[_w a ɖ u ]_w
[_w h i ɖ a ]_w
[_w b u t̪ ]_w
[_w æ d̪ i ]_w
[_w u ɖ a ]_w
[_w k a p aː ]_w
[_w n æ d̪ː eː ]_w
[_w b o ɖ i ]_w
[_w b u dʒ aː ]_w
[_w ɡ u r ]_w
[_w b o d̪ eː ]_w
[_w p iː ʈ aː ]_w
[_w d̪ a d̪ a ]_w
[_w m a ɡ eː ]_w
[_w p o ɖ i ]_w
[_w t̪ i b eː ]_w
[_w d̪ i p uː ]_w
[_w r oː t̪ a ]_w
[_w s æ p æː ]_w
[_w b a ʃ u ]_w
[_w b u t̪ː i ]_w
[_w b a d̪ː a ]_w
[_w m æ d̪ a ]_w
[_w a d̪ a d̪ ]_w
[_w b a d̪ aː ]_w
[_w b a d̪ ]_w
[_w t̪ i k u ]_w
[_w h i ɖ i ]_w
[_w b i ɖ a ]_w
[_w p oː k a ]_w
[_w s k o ɖ ]_w
[_w p o t̪ ]_w
[_w ɡ a l f ]_w
[_w i ɖ u ]_w
[_w b i ɖ i ]_w
[_w p o d̪ ]_w
[_w t̪ æ ɡ a ]_w
[_w b a t̪ː i ]_w
[_w ɡ æ p iː ]_w
[_w i d̪ i ]_w
[_w p a d̪ i ]_w
[_w ɡ a ɖ aː ]_w
[_w ɡ iː d̪ a ]_w
[_w h æ ɡ a ]_w
[_w b a d̪ u ]_w
[_w l uː k ]_w
[_w k d̪ a ]_w
[_w æ d̪ a d̪ ]_w
[_w ɡ aː ɖ ]_w
[_w tʃ i d̪ː a ]_w
[_w t̪ i ɡ u ]_w
[_w b æ d̪ i ]_w
[_w b æ d̪ː a ]_w
[_w i ɖ a m ]_w
[_w a ɖ a ɡ ]_w
[_w p a d̪ aː ]_w
[_w n æ d̪ː a ]_w
[_w b æ d̪ː eː ]_w
[_w p æ d̪ː a ]_w
