[_w j i l i ]_w
[_w q ɑ dʒ ɑ ]_w
[_w j e z ɑ ]_w
[_w b i r i ]_w
[_w j e ʃ i ]_w
[_w ɑ l æ m ]_w
[_w ʃ u ŋ ɑ ]_w
[_w b u n i ]_w
[_w y m i t ]_w
[_w m ɑ l ]_w
[_w s ɑ h æ ]_w
[_w o q u ʃ ]_w
[_w r ɑ s i ]_w
[_w ɑ k ɑ ]_w
[_w ɑ w ɑ m ]_w
[_w b o j i ]_w
[_w u tʃ u r ]_w
[_w t e s ]_w
[_w i k k i ]_w
[_w p e r i ]_w
[_w x e n i ]_w
[_w i l i ]_w
[_w d i n i ]_w
[_w s o t ɑ ]_w
[_w k ø p i ]_w
[_w e n i q ]_w
[_w ɡ i r i ]_w
[_w t e t i ]_w
[_w z ɑ t i ]_w
[_w j ɑ ŋ ]_w
[_w h æ m ]_w
[_w æ ʃ u ]_w
[_w q o l ]_w
[_w e t i q ]_w
[_w ɑ x i r ]_w
[_w b ɑ h ɑ ]_w
[_w m e n i ]_w
[_w m u s ɑ ]_w
[_w b u l ]_w
[_w t ɑ r i ]_w
[_w ʃ æ j ɣ ]_w
[_w q ɑ r i ]_w
[_w ɑ l t æ ]_w
[_w æ z l i ]_w
[_w i s m i ]_w
[_w æ p u ]_w
[_w s o r i ]_w
[_w l j u ]_w
[_w d y r ɡ ]_w
[_w ɑ ʃ q ɑ ]_w
[_w t i n i ]_w
[_w s ɑ n ]_w
[_w m i z ]_w
[_w l i q ]_w
[_w æ ɡ æ r ]_w
[_w u l u x ]_w
[_w x u ɑ ]_w
[_w d o s t ]_w
[_w dʒ ɑ r æ ]_w
[_w z ɑ æ t ]_w
[_w ɑ z i j ]_w
[_w ɑ ɣ i r ]_w
[_w z i r æ ]_w
[_w ʃ u n i ]_w
[_w p ɑ h ɑ ]_w
[_w t e x i ]_w
[_w i d d i ]_w
[_w æ q i l ]_w
[_w ɑ j ɑ l ]_w
[_w q ɑ r ɑ ]_w
[_w k y tʃ i ]_w
[_w m æ n ]_w
[_w e tʃ i ʃ ]_w
[_w h ɑ dʒ i ]_w
[_w d ɑ l ]_w
[_w i ʃ i k ]_w
[_w i l i m ]_w
[_w ɑ l d i ]_w
[_w w æ t æ ]_w
[_w e j i n ]_w
[_w m ɑ n ɑ ]_w
[_w j o l i ]_w
[_w dʒ æ m i ]_w
[_w p i r i ]_w
[_w n æ q ]_w
[_w ɑ s i j ]_w
[_w y z d i ]_w
[_w b u l i ]_w
[_w z o r i ]_w
[_w t i l i ]_w
[_w x æ l q ]_w
[_w i n q i ]_w
[_w ɑ t i l ]_w
[_w b i s ]_w
[_w n ɑ m i ]_w
[_w ɑ n ɑ ]_w
[_w k i r i ]_w
[_w x ɑ l i ]_w
[_w s m i s ]_w
[_w ɑ s ɑ s ]_w
[_w y s t i ]_w
[_w i j u n ]_w
[_w h e j d ]_w
[_w p u n i ]_w
[_w ɑ ʃ t i ]_w
[_w t u r ɑ ]_w
[_w o r u n ]_w
[_w æ z i r ]_w
[_w tʃ æ m i ]_w
[_w y n y m ]_w
[_w k ɑ t i ]_w
[_w r u s ]_w
[_w ø j ɡ æ ]_w
[_w æ n æ ]_w
[_w ɑ r z u ]_w
[_w ɑ d i l ]_w
[_w b æ r q ]_w
[_w j æ n æ ]_w
[_w e r i ʃ ]_w
[_w i ɡ æ n ]_w
[_w æ s i z ]_w
[_w s i j ɑ ]_w
[_w ɑ t æ m ]_w
[_w w æ q æ ]_w
[_w l ɑ m ɑ ]_w
[_w i tʃ i k ]_w
[_w i r ɑ n ]_w
[_w q i z i ]_w
[_w n i m æ ]_w
[_w æ r ɡ i ]_w
[_w i ɑ n æ ]_w
[_w d i r i ]_w
[_w j y æ n ]_w
[_w j æ n i ]_w
[_w h ɑ l æ ]_w
[_w m æ n i ]_w
[_w d y r k ]_w
[_w æ m m ɑ ]_w
[_w e ʃ i ʃ ]_w
[_w k ø z i ]_w
[_w u n d ɑ ]_w
[_w ɑ s ɑ z ]_w
[_w æ n d i ]_w
[_w s i z ]_w
[_w d æ w r ]_w
[_w æ h w ɑ ]_w
[_w ø z ɡ æ ]_w
[_w s æ w r ]_w
[_w j e s ɑ ]_w
[_w b e r i ]_w
[_w b æ s i ]_w
[_w æ j n i ]_w
[_w k ø p ]_w
[_w t i k æ ]_w
[_w ɑ d æ m ]_w
[_w ɑ l ɣ ɑ ]_w
[_w p o j i ]_w
[_w ɑ n tʃ æ ]_w
[_w ɑ t æ t ]_w
[_w u r u n ]_w
[_w e t i p ]_w
[_w i n ɑ q ]_w
[_w j ɑ k i ]_w
[_w w e n ]_w
[_w i n d i ]_w
[_w t æ b ]_w
[_w u r u q ]_w
[_w u l u ɣ ]_w
[_w l i n ]_w
[_w dʒ ɑ z ɑ ]_w
[_w ɣ æ l q ]_w
[_w i l ɣ ɑ ]_w
[_w k e tʃ æ ]_w
[_w r e ɑ l ]_w
[_w t ɑ x ]_w
[_w p i n ɑ ]_w
[_w j e r i ]_w
[_w ɑ j æ t ]_w
[_w i b n ]_w
[_w ʃ æ r d ]_w
[_w ɑ z d ɑ ]_w
[_w s ø z i ]_w
[_w r o l i ]_w
[_w æ s i r ]_w
[_w ɑ l i m ]_w
[_w ɑ s t ɑ ]_w
[_w b o z ]_w
[_w x o tʃ ɑ ]_w
[_w u r u ʃ ]_w
[_w t y r ɡ ]_w
[_w j ɑ w ɑ ]_w
[_w z i j ɑ ]_w
[_w d i l i ]_w
[_w k y n i ]_w
[_w i t t i ]_w
[_w k y tʃ ]_w
[_w k ø z ]_w
[_w o ɣ l i ]_w
[_w e l i ʃ ]_w
[_w q e n i ]_w
[_w j ɑ r ]_w
[_w k i ʃ i ]_w
[_w ɑ z ɑ d ]_w
[_w i ʃ i ]_w
[_w r o h i ]_w
[_w s ɑ n i ]_w
[_w x e l i ]_w
[_w i ʃ tʃ i ]_w
[_w p æ s i ]_w
[_w ø m æ r ]_w
[_w t i n dʒ ]_w
[_w ɑ l i j ]_w
[_w ɑ i t ]_w
[_w i ʃ t i ]_w
[_w i tʃ s æ ]_w
[_w h æ tʃ ]_w
[_w z ɑ n i ]_w
[_w ɑ t t i ]_w
[_w æ k æ r ]_w
[_w h ɑ z i ]_w
[_w m i ŋ ]_w
[_w s u ɣ ɑ ]_w
[_w æ m æ l ]_w
[_w b æ n ]_w
[_w p ɑ ʃ ]_w
[_w t o l ɑ ]_w
[_w ɑ i l æ ]_w
[_w h ɑ s i ]_w
[_w i j u l ]_w
[_w tʃ ɑ ŋ ]_w
[_w e l i ]_w
[_w b æ h r ]_w
[_w o q u ŋ ]_w
[_w x æ t ]_w
[_w ɡ y n ]_w
[_w u s u l ]_w
[_w ɑ s ɑ n ]_w
[_w w ɑ ŋ ]_w
[_w i d i q ]_w
[_w o r n i ]_w
[_w s ɑ d i ]_w
[_w r u s i ]_w
[_w tʃ ɑ s ɑ ]_w
[_w d ɑ r i ]_w
[_w n æ t æ ]_w
[_w ɑ z ɑ s ]_w
[_w b ɑ l ɑ ]_w
[_w ʃ e i r ]_w
[_w q o l i ]_w
[_w u l ɑ r ]_w
[_w u n t ɑ ]_w
[_w k ɑ s ]_w
[_w q ɑ tʃ ɑ ]_w
[_w ɑ w ɑ z ]_w
[_w s o d ɑ ]_w
[_w j u r d ]_w
[_w e x i r ]_w
[_w tʃ ɑ b ɑ ]_w
[_w ɑ j n i ]_w
[_w ʃ æ x s ]_w
[_w i q t i ]_w
[_w u n i ŋ ]_w
[_w j ɑ ʃ ]_w
[_w ø l ɡ æ ]_w
[_w y r y m ]_w
[_w u s u n ]_w
[_w b ɑ j ]_w
[_w t ɑ ʃ ]_w
[_w j ɑ s i ]_w
[_w r o z ɑ ]_w
[_w ɑ l t i ]_w
[_w m u s ]_w
[_w ɣ i t ɑ ]_w
[_w j e ŋ i ]_w
[_w ʃ i l i ]_w
[_w æ m ɡ æ ]_w
[_w i tʃ r ɑ ]_w
[_w q ɑ z ɑ ]_w
[_w t e z æ ]_w
[_w y tʃ y n ]_w
[_w ɑ d æ t ]_w
[_w i t i ]_w
[_w s i r d ]_w
[_w ɑ w ɑ s ]_w
[_w dʒ ɑ s ɑ ]_w
[_w ʃ ɑ r i ]_w
[_w t i r i ]_w
[_w q o j ]_w
[_w e r i q ]_w
[_w e t i r ]_w
[_w k æ p ]_w
[_w t ɑ s ɑ ]_w
[_w y m i d ]_w
[_w u n i ]_w
[_w b ɑ n ]_w
[_w d e t i ]_w
[_w q i s i ]_w
[_w t i n ]_w
[_w ɡ i l i ]_w
[_w d i ɡ i ]_w
[_w tʃ y m æ ]_w
[_w s i l æ ]_w
[_w q ɑ t i ]_w
[_w m i s ]_w
[_w ɑ t æ d ]_w
[_w dʒ ɑ b ɑ ]_w
[_w m ɑ ŋ ɑ ]_w
[_w b e ʃ i ]_w
[_w s o ɑ l ]_w
[_w n æ ʃ r ]_w
[_w ɑ m ɑ n ]_w
[_w e j i ]_w
[_w i n d ɑ ]_w
[_w tʃ ɑ p ɑ ]_w
[_w o j u n ]_w
[_w ø z y p ]_w
[_w ɑ ʃ u ]_w
[_w b i r ]_w
[_w dʒ æ t ]_w
[_w b ɑ z ɑ ]_w
[_w ʃ æ r q ]_w
[_w k y l ]_w
[_w dʒ e ɡ i ]_w
[_w t æ w r ]_w
[_w b ɑ ɑ l ]_w
[_w r o l ]_w
[_w tʃ æ l b ]_w
[_w ɑ tʃ t i ]_w
[_w u z u n ]_w
[_w k æ ŋ ]_w
[_w q o ʃ ]_w
[_w p ɑ l ɑ ]_w
[_w æ j s ɑ ]_w
[_w x i d ɑ ]_w
[_w i dʒ ɡ i ]_w
[_w n e m æ ]_w
[_w x i t ɑ ]_w
[_w ø l k æ ]_w
[_w i m z ɑ ]_w
[_w dʒ i n ]_w
[_w t ɑ i m ]_w
[_w ø z i ]_w
[_w ɑ t ɑ ]_w
[_w ø z d æ ]_w
[_w b ɑ x ]_w
[_w ɑ w ɑ l ]_w
[_w tʃ ɑ tʃ ]_w
[_w ɑ k i s ]_w
[_w m o ɣ ɑ ]_w
[_w æ l l æ ]_w
[_w ʃ ɑ h ]_w
[_w tʃ æ m ]_w
[_w ɡ i ʃ i ]_w
[_w s e n i ]_w
[_w e s i l ]_w
[_w tʃ e n ]_w
[_w d ɑ i r ]_w
[_w ɑ z ɑ z ]_w
[_w ø r b ]_w
[_w h ɑ t i ]_w
[_w t æ p ]_w
[_w i dʒ r ɑ ]_w
[_w ɑ j æ d ]_w
[_w tʃ o r tʃ ]_w
[_w æ r s ]_w
[_w b ɑ dʒ ]_w
[_w ɑ r ɑ n ]_w
[_w b ɑ s ɑ ]_w
[_w w ɑ s ]_w
[_w t o s t ]_w
[_w e k i s ]_w
[_w dʒ ɑ j ]_w
[_w æ l ɑ ]_w
[_w t o r ]_w
[_w b ɑ p ]_w
[_w i l d i ]_w
[_w k æ n d ]_w
[_w t y r k ]_w
[_w i d u q ]_w
[_w i p ɑ r ]_w
[_w x æ r p ]_w
[_w ø z y ʃ ]_w
[_w ø t t i ]_w
[_w æ s æ r ]_w
[_w ɑ q s u ]_w
[_w b æ ʃ ]_w
[_w æ r z ]_w
[_w k i n o ]_w
[_w dʒ i ŋ ]_w
[_w t æ w æ ]_w
[_w n i k ɑ ]_w
[_w ɑ k i z ]_w
[_w ʃ i l ]_w
[_w b i n ɑ ]_w
[_w q æ d æ ]_w
[_w h e tʃ ]_w
[_w d æ n ]_w
[_w tʃ æ t ]_w
[_w ɑ j l i ]_w
[_w b æ k ]_w
[_w j i l ]_w
[_w s æ b ]_w
[_w ø l y ʃ ]_w
[_w e j i t ]_w
[_w m u ʃ u ]_w
[_w j u r t ]_w
[_w i ʃ n i ]_w
[_w h ɑ w ɑ ]_w
[_w n u r ]_w
[_w e ŋ i ]_w
[_w dʒ o ŋ ]_w
[_w ɑ i d ]_w
[_w q i s ]_w
[_w h e z ]_w
[_w r æ i s ]_w
[_w æ b u ]_w
[_w k i l i ]_w
[_w p ɑ s ɑ ]_w
[_w dʒ ɑ w ]_w
[_w tʃ o ŋ ]_w
[_w t i ɡ æ ]_w
[_w ɑ j t ɑ ]_w
[_w r o s i ]_w
[_w æ s l i ]_w
[_w d e x i ]_w
[_w ɑ z d i ]_w
[_w ø l y p ]_w
[_w m o ʃ u ]_w
[_w i s i m ]_w
[_w w ɑ n ]_w
[_w i t ɑ r ]_w
[_w t ɑ r ]_w
[_w o r d ɑ ]_w
[_w j æ p ]_w
[_w q æ r æ ]_w
[_w t æ n ]_w
[_w s ɑ ŋ ɑ ]_w
[_w dʒ o r tʃ ]_w
[_w tʃ ɑ dʒ ]_w
[_w s æ p æ ]_w
[_w j ɑ r t ]_w
[_w b ɑ q ]_w
[_w ɡ ø ʃ ]_w
[_w t e z ]_w
[_w p æ r q ]_w
[_w n æ p ]_w
[_w s æ r p ]_w
[_w i p n ]_w
[_w ɣ æ d ]_w
[_w ɑ p i d ]_w
[_w h ɑ d i ]_w
[_w tʃ ɑ j ]_w
[_w r u z ]_w
[_w q u d ]_w
[_w t i w ɑ ]_w
[_w f e j ]_w
[_w t ɑ i r ]_w
[_w b æ x t ]_w
[_w i b n i ]_w
[_w ɣ ɑ s ]_w
[_w h e j t ]_w
[_w i tʃ k i ]_w
[_w t ø t ]_w
[_w æ z i s ]_w
[_w z æ b ]_w
[_w r æ d ]_w
[_w i ʃ q ɑ ]_w
[_w s o t ]_w
[_w ɑ l i ]_w
[_w t o r i ]_w
[_w t i ɡ i ]_w
[_w n ɑ d o ]_w
[_w j i d i ]_w
[_w r o ŋ ]_w
[_w q ɑ d i ]_w
[_w j ɑ r i ]_w
[_w ɑ j d ɑ ]_w
[_w n ɑ m ]_w
[_w j æ k æ ]_w
[_w d o l ɑ ]_w
[_w t æ r ]_w
[_w b ɑ ʃ ]_w
[_w s i r ]_w
[_w j ɑ z i ]_w
[_w e j i d ]_w
[_w d æ w æ ]_w
[_w o q u p ]_w
[_w s æ p ]_w
[_w t ɑ ɣ ]_w
[_w x ɑ t ɑ ]_w
[_w b ɑ tʃ ]_w
[_w æ m æ t ]_w
[_w æ m d i ]_w
[_w ɑ z ɑ n ]_w
[_w dʒ o n ]_w
[_w ø s y ʃ ]_w
[_w j æ r ]_w
[_w m u z ]_w
[_w r æ t ]_w
[_w o ɣ u l ]_w
[_w w æ d æ ]_w
[_w z i r ]_w
[_w i z i m ]_w
[_w tʃ ɑ n ]_w
[_w h æ dʒ ]_w
[_w ɑ l l ɑ ]_w
[_w ø j t æ ]_w
[_w ɣ e l i ]_w
[_w ɑ m i l ]_w
[_w dʒ e k i ]_w
[_w i n i ]_w
[_w m ɑ j ]_w
[_w k i m ]_w
[_w h æ r ]_w
[_w i tʃ i ɡ ]_w
[_w d o z d ]_w
[_w ɑ r ɑ ]_w
[_w z u ɣ ɑ ]_w
[_w ɣ o tʃ ɑ ]_w
[_w d y r ]_w
[_w z o d ɑ ]_w
[_w b æ z i ]_w
[_w tʃ æ d ]_w
[_w k y n ]_w
[_w b e tʃ i ]_w
[_w t o z d ]_w
[_w dʒ y m æ ]_w
[_w t o j ]_w
[_w x u t ɑ ]_w
[_w s æ r b ]_w
[_w j ɑ q ɑ ]_w
[_w n æ b ]_w
[_w ʃ æ r t ]_w
[_w ɑ tʃ q ɑ ]_w
[_w t y r i ]_w
[_w i r q i ]_w
[_w m u n u ]_w
[_w k o n ɑ ]_w
[_w ɣ æ w b ]_w
[_w d o r ]_w
[_w k ø k ]_w
[_w p ɑ z ɑ ]_w
[_w x u d ɑ ]_w
[_w ɑ n d i ]_w
[_w q i z ]_w
[_w n i ɡ ɑ ]_w
[_w m i n i ]_w
[_w o x l i ]_w
