[_w a l ɔ q ]_w
[_w b a χ ʃ ]_w
[_w b ɔ l a ]_w
[_w χ ɔ l i ]_w
[_w t u t i ]_w
[_w j a ŋ i ]_w
[_w k i ʃ i ]_w
[_w w a q d ]_w
[_w q o l i ]_w
[_w h a q ]_w
[_w χ a l q ]_w
[_w u l u ɣ ]_w
[_w q ɔ t i ]_w
[_w j u ɾ t ]_w
[_w q a ɾ s ]_w
[_w i s t a ]_w
[_w d a m ]_w
[_w k a b i ]_w
[_w o z i ŋ ]_w
[_w dʒ a lː a ]_w
[_w a ɾ a b ]_w
[_w d ɛ z a ]_w
[_w u n i ]_w
[_w i kː i ]_w
[_w q ɔ z i ]_w
[_w m a s h ]_w
[_w a d a p ]_w
[_w dʒ i q a ]_w
[_w b ɔ ʃ ]_w
[_w h a l i ]_w
[_w m ɛ n i ]_w
[_w a t a b ]_w
[_w b a j t ]_w
[_w ɔ ʃ i q ]_w
[_w o ɾ i n ]_w
[_w b a s t ]_w
[_w ɔ j d a ]_w
[_w ɔ i l a ]_w
[_w ʃ i f ɔ ]_w
[_w dʒ ɔ j i ]_w
[_w u n d a ]_w
[_w ɾ a h m ]_w
[_w d a w ɔ ]_w
[_w ɛ t i ʃ ]_w
[_w s ɔ l a ]_w
[_w o t i ʃ ]_w
[_w a m a l ]_w
[_w ʃ a ɾ t ]_w
[_w ɔ ʃ d i ]_w
[_w h i z ]_w
[_w b o j i ]_w
[_w m ɔ dː a ]_w
[_w b a n k ]_w
[_w ʃ a χ s ]_w
[_w t a w ɾ ]_w
[_w s ɔ ɛ ]_w
[_w w a f ɔ ]_w
[_w q a ɾ a ]_w
[_w n a f s ]_w
[_w m a t i ]_w
[_w χ o tʃ a ]_w
[_w ɾ a d ]_w
[_w ɔ l d i ]_w
[_w a n h u ]_w
[_w s u ɾ a ]_w
[_w ɔ j a t ]_w
[_w b i ɾ ]_w
[_w ɔ t a m ]_w
[_w tʃ a z ɔ ]_w
[_w a wː a l ]_w
[_w dʒ ɔ ɾ a ]_w
[_w l a ɾ i ]_w
[_w j u z ]_w
[_w ɛ m a s ]_w
[_w u j d a ]_w
[_w n ɔ s i ]_w
[_w b a χ t ]_w
[_w i l ɔ h ]_w
[_w a j n i ]_w
[_w t a b i ]_w
[_w ɔ n a ]_w
[_w t ɔ i m ]_w
[_w m a tː ɔ ]_w
[_w o ɾ n i ]_w
[_w b i z ]_w
[_w j u k ]_w
[_w w a t a ]_w
[_w a χ i ɾ ]_w
[_w q ɔ i m ]_w
[_w ɛ s k u ]_w
[_w a z a ɾ ]_w
[_w t a s i ]_w
[_w f a q a ]_w
[_w ɛ ɡ a n ]_w
[_w ɔ j a d ]_w
[_w k o ɾ a ]_w
[_w a ɾ ɔ q ]_w
[_w p a s i ]_w
[_w ɔ d a m ]_w
[_w s a l ]_w
[_w k a s i ]_w
[_w n ɔ m i ]_w
[_w q i sː a ]_w
[_w h a ɾ ]_w
[_w h a q i ]_w
[_w ɛ t d i ]_w
[_w b o l a ]_w
[_w tʃ a ɾ a ]_w
[_w ɛ t i b ]_w
[_w j o l i ]_w
[_w o ɾ t a ]_w
[_w ɔ χ i ɾ ]_w
[_w j a kː a ]_w
[_w z ɔ p i ]_w
[_w q a t i ]_w
[_w i z ɾ ɔ ]_w
[_w q a l b ]_w
[_w ɛ ɾ ɡ a ]_w
[_w z ɔ b i ]_w
[_w k a ɾ i ]_w
[_w b a j d ]_w
[_w a m ɾ i ]_w
[_w k u n i ]_w
[_w m ɔ l ]_w
[_w s a j t ]_w
[_w a n h ɔ ]_w
[_w t a l i ]_w
[_w a s ɔ s ]_w
[_w χ i l ]_w
[_w k u ŋ a ]_w
[_w f a ɔ l ]_w
[_w t i l i ]_w
[_w ɔ m ɔ n ]_w
[_w b ɔ ɾ a ]_w
[_w m u l ɡ ]_w
[_w a m i ɾ ]_w
[_w h u k m ]_w
[_w tʃ ɔ i z ]_w
[_w o ʃ a ]_w
[_w t a n ]_w
[_w χ u dː i ]_w
[_w ɛ s ɡ u ]_w
[_w b a t ɾ ]_w
[_w ɔ w ɔ z ]_w
[_w a m ɾ ]_w
[_w ɔ dʒ d i ]_w
[_w ɡ o ɾ a ]_w
[_w m a n a ]_w
[_w ɾ u m ]_w
[_w k ɛ dʒ a ]_w
[_w ɛ t i m ]_w
[_w w a q t ]_w
[_w a n i q ]_w
[_w dʒ u m a ]_w
[_w s i ɾ a ]_w
[_w d i ɾ i ]_w
[_w t a w ɔ ]_w
[_w d ɔ b i ]_w
[_w ɛ t i ]_w
[_w ɾ u h ]_w
[_w χ u ʃ ]_w
[_w o z i ]_w
[_w n i m a ]_w
[_w k a dː a ]_w
[_w t ɛ ŋ ]_w
[_w q i l ]_w
[_w o q i b ]_w
[_w d a w ɾ ]_w
[_w a j ɔ l ]_w
[_w z ɔ t i ]_w
[_w ʃ ɔ i ɾ ]_w
[_w d a ɾ s ]_w
[_w q i l a ]_w
[_w ɾ a i z ]_w
[_w q o l ]_w
[_w m a j ]_w
[_w s u l m ]_w
[_w t a ɾ ɡ ]_w
[_w u l a ɾ ]_w
[_w b i l a ]_w
[_w t a z i ]_w
[_w ɔ b i d ]_w
[_w d a ɾ z ]_w
[_w t u ɾ ]_w
[_w ɡ o ʃ d ]_w
[_w h u dː i ]_w
[_w b a n i ]_w
[_w ɡ a dʒ a ]_w
[_w b a s i ]_w
[_w q u ʃ ]_w
[_w n ɛ k a ]_w
[_w z a n ɔ ]_w
[_w n i s ɔ ]_w
[_w n a t ɔ ]_w
[_w dʒ ɔ n ]_w
[_w ɛ t ɡ a ]_w
[_w h a dʒ ]_w
[_w s a b t ]_w
[_w s u nː a ]_w
[_w o l i m ]_w
[_w i l a ]_w
[_w tʃ a s ɔ ]_w
[_w b a n d ]_w
[_w q u j i ]_w
[_w t a t a ]_w
[_w b ɔ ɾ ]_w
[_w χ o dʒ a ]_w
[_w ɾ a z m ]_w
[_w k o z i ]_w
[_w a q l i ]_w
[_w q a j t ]_w
[_w ɔ l i ŋ ]_w
[_w q ɔ n ]_w
[_w s ɔ d i ]_w
[_w n ɔ z i ]_w
[_w k a b a ]_w
[_w b i ɾ i ]_w
[_w ɾ ɔ s i ]_w
[_w s a l a ]_w
[_w t ɛ ɾ ]_w
[_w ɛ t a ]_w
[_w n a t i ]_w
[_w j u z i ]_w
[_w ɔ z d i ]_w
[_w t o z d ]_w
[_w k ɛ tʃ a ]_w
[_w ɔ i ʃ a ]_w
[_w i ʃ d i ]_w
[_w f a ɾ q ]_w
[_w ɛ l tʃ i ]_w
[_w i j u n ]_w
[_w t i ɾ ]_w
[_w t u ɾ i ]_w
[_w u n t a ]_w
[_w d ɛ s a ]_w
[_w ɛ ɾ t a ]_w
[_w b o l ]_w
[_w s i j ɔ ]_w
[_w ɛ l dʒ i ]_w
[_w ɾ ɔ s a ]_w
[_w i l m i ]_w
[_w j ɔ t ]_w
[_w dʒ ɔ i s ]_w
[_w k u ɾ a ]_w
[_w d o z d ]_w
[_w dʒ a m i ]_w
[_w s ɔ l i ]_w
[_w m a n ]_w
[_w n ɛ dʒ a ]_w
[_w d a n ]_w
[_w d u ɾ ɡ ]_w
[_w u m i d ]_w
[_w t u d i ]_w
[_w d i l i ]_w
[_w ʃ u ŋ a ]_w
[_w ɾ a s m ]_w
[_w a j t a ]_w
[_w k o s i ]_w
[_w a z i z ]_w
[_w q a n i ]_w
[_w a t i b ]_w
[_w t u ɾ ɡ ]_w
[_w q ɔ ɾ ]_w
[_w n i ŋ ]_w
[_w o χ h ]_w
[_w χ ɔ h ]_w
[_w k o ʃ d ]_w
[_w a s l i ]_w
[_w b ɛ ɾ i ]_w
[_w ɾ ɛ a l ]_w
[_w q a t l ]_w
[_w i ʃ ɡ a ]_w
[_w b a h ɔ ]_w
[_w p ɔ l a ]_w
[_w ɛ d i b ]_w
[_w ɛ l ɡ a ]_w
[_w s a ɾ i ]_w
[_w a j b i ]_w
[_w ɛ k a n ]_w
[_w a s a l ]_w
[_w dʒ ɛ k ]_w
[_w d a b i ]_w
[_w o q u w ]_w
[_w ʃ a ɾ q ]_w
[_w a l ɔ m ]_w
[_w d a ɾ k ]_w
[_w ɣ u z l ]_w
[_w m ɛ ŋ a ]_w
[_w m l n ]_w
[_w ɔ tʃ i q ]_w
[_w ɔ n a m ]_w
[_w ɾ o j ]_w
[_w a k s ]_w
[_w a n d i ]_w
[_w a h t ]_w
[_w j ɔ ʃ ]_w
[_w b ɛ ɾ a ]_w
[_w f i q h ]_w
[_w z ɛ n ]_w
[_w i lː a d ]_w
[_w o ɾ d a ]_w
[_w ɔ s t i ]_w
[_w z ɔ n ]_w
[_w a k a ɾ ]_w
[_w j ɔ z i ]_w
[_w χ u t ɔ ]_w
[_w ʃ u ɡ i ]_w
[_w b m t ]_w
[_w i l i q ]_w
[_w o n d a ]_w
[_w b u n i ]_w
[_w j a n a ]_w
[_w b u l i ]_w
[_w u n i ŋ ]_w
[_w d a ɾ t ]_w
[_w ɔ dʒ i b ]_w
[_w j ɔ d i ]_w
[_w h a w ɔ ]_w
[_w dʒ ɔ nː i ]_w
[_w k o p i ]_w
[_w u ʃ p u ]_w
[_w h a mː a ]_w
[_w m a n ɔ ]_w
[_w d u ɾ i ]_w
[_w t ɔ b i ]_w
[_w a h l i ]_w
[_w a s a ɾ ]_w
[_w ɔ l i j ]_w
[_w q a j ]_w
[_w ɔ mː a ]_w
[_w i j u l ]_w
[_w a ɾ ɔ ]_w
[_w w ɔ q ɛ ]_w
[_w q a s ɔ ]_w
[_w ɛ l ɔ n ]_w
[_w ɔ q i b ]_w
[_w q a ɾ i ]_w
[_w ɣ a m ]_w
[_w i n tʃ i ]_w
[_w t o ɾ t ]_w
[_w b i n ɔ ]_w
[_w dʒ u t ɔ ]_w
[_w b u ŋ a ]_w
[_w ɔ ɾ d i ]_w
[_w n ɔ n ]_w
[_w ɔ l i m ]_w
[_w ɡ o z i ]_w
[_w k ɛ ŋ ]_w
[_w a j d i ]_w
[_w ɡ o s i ]_w
[_w u ɾ i b ]_w
[_w q a ɾ ɔ ]_w
[_w u b a j ]_w
[_w j o q ]_w
[_w s ɛ n i ]_w
[_w ɾ ɔ z t ]_w
[_w i l ɡ ]_w
[_w o ɣ i l ]_w
[_w q i s m ]_w
[_w a s ɔ ]_w
[_w m i s ɾ ]_w
[_w h i sː a ]_w
[_w m a s a ]_w
[_w χ a ɾ ]_w
[_w s i k ɾ ]_w
[_w w l a t ]_w
[_w b ɛ ɾ ]_w
[_w u z u l ]_w
[_w p a ɾ i ]_w
[_w ɡ ɛ l a ]_w
[_w tʃ a m i ]_w
[_w ɔ l s a ]_w
[_w t a m i ]_w
[_w p ɔ ʃ i ]_w
[_w q o j a ]_w
[_w t i n dʒ ]_w
[_w ɛ ɾ k a ]_w
[_w s i d ]_w
[_w h a j s ]_w
[_w t i n i ]_w
[_w b ɔ ʃ i ]_w
[_w b a z i ]_w
[_w b ɔ ɾ d ]_w
[_w i l m ]_w
[_w d i ɡ i ]_w
[_w s a n ɔ ]_w
[_w k ɔ h ]_w
[_w k a s p ]_w
[_w z a l a ]_w
[_w o ɾ a b ]_w
[_w s o z ]_w
[_w u ɡ a ]_w
[_w u s ɔ q ]_w
[_w ɔ ɾ t i ]_w
[_w t a ɾ k ]_w
[_w dʒ a ɾ ]_w
[_w j u ɾ d ]_w
[_w o l d i ]_w
[_w t ɔ ʃ ]_w
[_w m a kː a ]_w
[_w o j i n ]_w
[_w s u w ]_w
[_w ɔ ɣ i ɾ ]_w
[_w ʃ a ɾ h ]_w
[_w ɾ a k a ]_w
[_w dʒ i m ]_w
[_w o q i ʃ ]_w
[_w j ɔ n i ]_w
[_w χ u d ɔ ]_w
[_w i m ɔ m ]_w
[_w χ ɛ tʃ ]_w
[_w t a ɾ d ]_w
[_w ɛ k a ]_w
[_w s ɛ ŋ a ]_w
[_w ɾ o z a ]_w
[_w s ɔ t i ]_w
[_w i z ɔ h ]_w
[_w a lː ɔ h ]_w
[_w t ɔ n ɔ ]_w
[_w a s i s ]_w
[_w j ɔ ɣ i ]_w
[_w z ɔ j a ]_w
[_w m ɔ l i ]_w
[_w i s ɾ ɔ ]_w
[_w m i l ]_w
[_w p a d i ]_w
[_w ɔ t a ]_w
[_w n a d i ]_w
[_w q ɔ s i ]_w
[_w t i nː i ]_w
[_w ɡ a tː a ]_w
[_w s a j d ]_w
[_w q a l p ]_w
[_w ɔ l a m ]_w
[_w f ɔ ʃ ]_w
[_w ɛ s a ]_w
[_w q a t ɾ ]_w
[_w a j t i ]_w
[_w m i ŋ ]_w
[_w p a h ɔ ]_w
[_w q ɔ n i ]_w
[_w k u nː i ]_w
[_w ɣ a ɾ b ]_w
[_w j ɔ s i ]_w
[_w m a ɾ d ]_w
[_w dʒ ɛ t ]_w
[_w dʒ a z ɔ ]_w
[_w i l d i ]_w
[_w q a s ɾ ]_w
[_w u m ɾ a ]_w
[_w a z ɔ s ]_w
[_w a lː ɔ χ ]_w
[_w a b u l ]_w
[_w b a s ]_w
[_w ʃ u k i ]_w
[_w f a ɾ s ]_w
[_w n i z ɔ ]_w
[_w a s ɔ z ]_w
[_w u s u l ]_w
[_w ɔ ɾ ɔ m ]_w
[_w d u ŋ i ]_w
[_w dʒ a b ɾ ]_w
[_w ɛ t i ŋ ]_w
[_w i ʃ n i ]_w
[_w m ɛ h ɾ ]_w
[_w d ɛ t i ]_w
[_w dʒ u d a ]_w
[_w i s ɔ ]_w
[_w a mː ɔ ]_w
[_w dʒ a m ]_w
[_w ɔ l a d ]_w
[_w a b i ]_w
[_w ɔ t a t ]_w
[_w d i l ]_w
[_w ɔ dː i j ]_w
[_w ɔ l ɡ a ]_w
[_w u m ɾ i ]_w
[_w i l ɔ n ]_w
[_w dʒ ɔ j ]_w
[_w ɔ t ɔ b ]_w
[_w tʃ i q a ]_w
[_w i dʒ ɔ t ]_w
[_w t ɔ m ]_w
[_w ɔ bː ɔ q ]_w
[_w j u s i ]_w
[_w d i z i ]_w
[_w s ɔ b i ]_w
[_w u dʒ t a ]_w
[_w n u h ]_w
[_w o z ɡ a ]_w
[_w tʃ ɔ j i ]_w
[_w b u l ]_w
[_w u j ɡ a ]_w
[_w ɔ ʃ i b ]_w
[_w s ɔ n ]_w
[_w a s ɔ p ]_w
[_w n a s i ]_w
[_w f ɔ i z ]_w
[_w a j t ]_w
[_w ʃ u n i ]_w
[_w t a k i ]_w
[_w z i f a ]_w
[_w ɔ l a t ]_w
[_w d ɛ j a ]_w
[_w o s i ŋ ]_w
[_w tʃ a b ɾ ]_w
[_w u mː a d ]_w
[_w tʃ ɔ m ɛ ]_w
[_w s o z i ]_w
[_w ʃ a j χ ]_w
[_w i s ɔ h ]_w
[_w d i n ]_w
[_w u ʃ b u ]_w
[_w j ɛ ɡ ɔ ]_w
[_w ɔ z ɔ ɾ ]_w
[_w o z i m ]_w
[_w k i m ]_w
[_w u ɾ u ʃ ]_w
[_w ɔ s i j ]_w
[_w ɡ a ɾ i ]_w
[_w o l ɡ a ]_w
[_w i b n ]_w
[_w k o ɾ ]_w
[_w d ɛ p ]_w
[_w q ɔ ɾ a ]_w
[_w t i tʃ ɔ ]_w
[_w s i s ]_w
[_w ɔ ɾ a t ]_w
[_w j ɛ ɾ ]_w
[_w ɾ u h i ]_w
[_w ɔ tʃ i z ]_w
[_w q a d ɾ ]_w
[_w p ɔ ɾ a ]_w
[_w n i d ɔ ]_w
[_w ɔ j ɔ q ]_w
[_w z ɛ n i ]_w
[_w a n a ]_w
[_w k ɛ l a ]_w
[_w k a tː a ]_w
[_w b ɔ j ]_w
[_w u m a ɾ ]_w
[_w f i k ɾ ]_w
[_w ɔ t a d ]_w
[_w t o l a ]_w
[_w tʃ a ɾ ]_w
[_w a bː ɔ s ]_w
[_w tʃ ɔ n i ]_w
[_w ɾ a i s ]_w
[_w ɡ u ŋ a ]_w
[_w b ɔ b ]_w
[_w d ɔ i m ]_w
[_w h a qː i ]_w
[_w q a j d ]_w
[_w ɔ l i ʃ ]_w
[_w ɛ n d i ]_w
[_w m ɔ tʃ a ]_w
[_w ɛ s k i ]_w
[_w ɔ d a t ]_w
[_w s a ɾ f ]_w
[_w t ɛ t i ]_w
[_w w a l ]_w
[_w a l i ]_w
[_w a z a l ]_w
[_w χ a tː ɔ ]_w
[_w ɛ z ɡ i ]_w
[_w i tʃ i b ]_w
[_w ɔ w ɔ s ]_w
[_w a ɾ s i ]_w
[_w p i ɾ i ]_w
[_w ɛ ɾ i ʃ ]_w
[_w w a d a ]_w
[_w i z ɡ a ]_w
[_w z o z i ]_w
[_w s a t a ]_w
[_w ɛ t a ɾ ]_w
[_w ʃ ɔ m ]_w
[_w a t ɔ ]_w
[_w χ ɔ ɾ ]_w
[_w f ɔ i s ]_w
[_w a l a m ]_w
[_w i s m i ]_w
[_w i lː a t ]_w
[_w a tʃː i q ]_w
[_w d u ɾ k ]_w
[_w z i s ]_w
[_w k i l i ]_w
[_w p i l a ]_w
[_w o l a ɾ ]_w
[_w ɔ z ɔ t ]_w
[_w q ɔ l a ]_w
[_w t ɔ k i ]_w
[_w ɔ d a ]_w
[_w p u l i ]_w
[_w ɔ i d ]_w
[_w d o l a ]_w
[_w t a ɾ s ]_w
[_w dʒ a s ɔ ]_w
[_w ʃ a ɾ d ]_w
[_w b ɔ k ]_w
[_w h a tː ɔ ]_w
[_w d ɔ b a ]_w
[_w a d a b ]_w
[_w i ʃ tʃ i ]_w
[_w h a s a ]_w
[_w s a i d ]_w
[_w s a i f ]_w
[_w t i ɡ ]_w
[_w t ɔ ɣ ]_w
[_w p a z i ]_w
[_w χ a w f ]_w
[_w dʒ a b ]_w
[_w a d i b ]_w
[_w ɡ u n i ]_w
[_w d ɔ ŋ ]_w
[_w ɔ p a ]_w
[_w a n tʃ a ]_w
[_w a q lː i ]_w
[_w b ɛ t ]_w
[_w d a f n ]_w
[_w s o ŋ ]_w
[_w k u n ]_w
[_w b ɛ l ]_w
[_w o ɣ l i ]_w
[_w ɛ z k i ]_w
[_w j ɛ tː i ]_w
[_w a dʒ ɾ ]_w
[_w ɡ o j ɔ ]_w
[_w d u t i ]_w
[_w t ɔ z a ]_w
[_w m a d a ]_w
[_w i ɾ ɔ q ]_w
[_w i m s ɔ ]_w
[_w q i z ]_w
[_w j u s ]_w
[_w b a ɾ i ]_w
[_w ʃ ɔ h ]_w
[_w t o p ]_w
[_w q u l i ]_w
[_w n ɛ ɡ a ]_w
[_w q i z m ]_w
[_w k a b ]_w
[_w h a m d ]_w
[_w k a z b ]_w
[_w u ŋ a ]_w
[_w w ɔ s i ]_w
[_w z i n ɔ ]_w
[_w q i s i ]_w
[_w d a l i ]_w
[_w s ɔ dː a ]_w
[_w w ɔ s ]_w
[_w i z n ]_w
[_w a s ɔ b ]_w
[_w ʃ i ɾ ɡ ]_w
[_w n a z i ]_w
[_w k o p ]_w
[_w a q ʃ ]_w
[_w s i n ɔ ]_w
[_w a n a z ]_w
[_w z i z ]_w
[_w q ɔ d i ]_w
[_w t u ɾ k ]_w
[_w j a ɡ ]_w
[_w χ a t ]_w
[_w n a q a ]_w
[_w m a z d ]_w
[_w m u ɔ z ]_w
[_w a ɾ ɔ f ]_w
[_w ɔ z i j ]_w
[_w a h d ]_w
[_w z u ɾ a ]_w
[_w ɔ l a ]_w
[_w a j d a ]_w
[_w ɛ s ɡ i ]_w
[_w ɛ m a z ]_w
[_w k a m ]_w
[_w j a n i ]_w
[_w t a m ]_w
[_w a ɡ a m ]_w
[_w ɣ u s l ]_w
[_w dʒ ɔ n i ]_w
[_w b m d ]_w
[_w ɛ ʃ i ɡ ]_w
[_w d ɔ ɾ ]_w
[_w ɛ ɾ ɡ ]_w
[_w ɔ j l i ]_w
[_w o q i j ]_w
[_w d a s i ]_w
[_w ɔ a w ]_w
[_w i tʃ k i ]_w
[_w k u ŋ i ]_w
[_w χ a d ɔ ]_w
[_w t o z t ]_w
[_w t o ɾ d ]_w
[_w ɛ ɾ ɔ n ]_w
[_w a z l i ]_w
[_w b o ʃ ]_w
[_w ɔ ɣ i z ]_w
[_w a tʃ i b ]_w
[_w k a ʃ f ]_w
[_w ɛ d i ʃ ]_w
[_w ɣ ɔ j a ]_w
[_w t ɔ p i ]_w
[_w a dʒ a b ]_w
[_w h ɛ tʃ ]_w
[_w t i n ]_w
[_w b ɔ s ]_w
[_w i sː i q ]_w
[_w a n a s ]_w
[_w t a ɾ t ]_w
[_w t i ʃ ]_w
[_w ɔ j n i ]_w
[_w k a z i ]_w
[_w i ʃ d a ]_w
[_w n ɔ t a ]_w
[_w h ɔ l i ]_w
[_w d u ɔ ]_w
[_w n a q t ]_w
[_w f a s i ]_w
[_w p a k ɾ ]_w
[_w q a b ɾ ]_w
[_w s i f a ]_w
[_w a z i s ]_w
[_w ɔ d ɔ b ]_w
[_w i s n ]_w
[_w q a w m ]_w
[_w ɔ t i l ]_w
[_w t u ʃ ]_w
[_w t ɔ b a ]_w
[_w u dʒ u n ]_w
[_w i ʃ t a ]_w
[_w d ɔ ʃ ]_w
[_w m a z a ]_w
[_w t ɔ ɣ a ]_w
[_w ɔ d a n ]_w
[_w a s ɾ ]_w
[_w i ʃ i ]_w
[_w n a q l ]_w
[_w u tʃ t a ]_w
[_w a k a m ]_w
[_w dʒ a l p ]_w
[_w b ɔ i z ]_w
[_w a bː ɔ z ]_w
[_w i q t i ]_w
[_w ɔ ɾ a d ]_w
[_w ɔ l t i ]_w
[_w χ a m ɾ ]_w
[_w d i k i ]_w
[_w d ɔ p i ]_w
