[_w w a tʃ i ]_w
[_w n o n o ]_w
[_w i h h i ]_w
[_w w a ʔ a ]_w
[_w p a ʔ a ]_w
[_w t u j a ]_w
[_w j o ɾ a ]_w
[_w i h t a ]_w
[_w n a t i ]_w
[_w k a ʔ i ]_w
[_w o s e ]_w
[_w a p o e ]_w
[_w ɾ a s a ]_w
[_w t a m o ]_w
[_w p a n i ]_w
[_w p i tʃ i ]_w
[_w s e n e ]_w
[_w i k a i ]_w
[_w m a tʃ i ]_w
[_w u k a ]_w
[_w i h s a ]_w
[_w k u n a ]_w
[_w t e m e ]_w
[_w t a ɾ i ]_w
[_w s i ɾ a ]_w
[_w w e ɾ i ]_w
[_w t a w e ]_w
[_w m u k a ]_w
[_w t u k a ]_w
[_w a h k a ]_w
[_w m u a i ]_w
[_w j o m a ]_w
[_w n a s o ]_w
[_w p i ɾ i ]_w
[_w n o tʃ i ]_w
[_w e h t o ]_w
[_w u ɾ a ]_w
[_w a i w a ]_w
[_w t e s a ]_w
[_w t e w a ]_w
[_w m e ɾ i ]_w
[_w w e ɾ e ]_w
[_w m a ɾ i ]_w
[_w n a n a ]_w
[_w n o k a ]_w
[_w t e w e ]_w
[_w w e tʃ i ]_w
[_w a h h a ]_w
[_w t e ɾ e ]_w
[_w w e ɾ a ]_w
[_w n o ʔ o ]_w
[_w i ʔ w a ]_w
[_w t u n a ]_w
[_w k u p a ]_w
[_w u ɾ i o ]_w
[_w w e k a ]_w
[_w t u s o ]_w
[_w k e n a ]_w
[_w j e j e ]_w
[_w n a s i ]_w
[_w k a w e ]_w
[_w n a o ]_w
[_w i n t o ]_w
[_w k i s i ]_w
[_w k a ɾ i ]_w
[_w n a s a ]_w
[_w w a p i ]_w
[_w k a w i ]_w
[_w p o n i ]_w
[_w o ʔ ɾ o ]_w
[_w t o ɾ e ]_w
[_w p u s i ]_w
[_w p i ɾ e ]_w
[_w tʃ i a ]_w
[_w k u o ]_w
[_w e ɾ a ]_w
[_w w e s a ]_w
[_w o s a ]_w
[_w u ɾ e a ]_w
[_w tʃ e s o ]_w
[_w a t a ]_w
[_w m o tʃ i ]_w
[_w tʃ u n a ]_w
[_w u ɾ u ]_w
[_w u k a o ]_w
[_w w e o ]_w
[_w e ʔ ɾ a ]_w
[_w tʃ e ɾ a ]_w
[_w t e k o ]_w
[_w a m p a ]_w
[_w t u ɾ o ]_w
[_w i h s i ]_w
[_w i ʔ j a ]_w
[_w s e k a ]_w
[_w i ʔ k a ]_w
[_w p a s a ]_w
[_w t e s o ]_w
[_w a t a o ]_w
[_w ɾ a w i ]_w
[_w o h s o ]_w
[_w ɾ u k a ]_w
[_w a t i a ]_w
[_w u w a ]_w
[_w m a n i ]_w
[_w t a n a ]_w
[_w n o e ]_w
[_w n e a ]_w
[_w a ɾ i ]_w
[_w n e e ]_w
[_w t e k a ]_w
[_w u j a i ]_w
[_w a tʃ i n ]_w
[_w o p e ]_w
[_w m e ɾ e ]_w
[_w k o w i ]_w
[_w w a m i ]_w
[_w w e ɾ u ]_w
[_w p i s i ]_w
[_w w a n i ]_w
[_w s a ɾ e ]_w
[_w m a s i ]_w
[_w o h tʃ i ]_w
[_w p o e ]_w
[_w a m o e ]_w
[_w p u a i ]_w
[_w u ɾ i a ]_w
[_w p u k a ]_w
[_w t u j o ]_w
[_w t o m a ]_w
[_w p e ɾ o ]_w
[_w tʃ i w a ]_w
[_w j a p i ]_w
[_w ɾ i ɾ a ]_w
[_w k a m e ]_w
[_w t i a i ]_w
[_w t i t o ]_w
[_w k a i ]_w
[_w t e w i ]_w
[_w n a w e ]_w
[_w o h s a ]_w
[_w n a ʔ i ]_w
[_w n e tʃ e ]_w
[_w k o ɾ e ]_w
[_w n o e o ]_w
[_w tʃ i o i ]_w
[_w p e tʃ i ]_w
[_w u p i ]_w
[_w u j o i ]_w
[_w p a s i ]_w
[_w e i n a ]_w
[_w e h p e ]_w
[_w p a m i ]_w
[_w e n e a ]_w
[_w k o ɾ i ]_w
[_w s i k o ]_w
[_w k a h a ]_w
[_w t u w a ]_w
[_w m a ɾ a ]_w
[_w ɾ a k o ]_w
[_w n a h u ]_w
[_w a t a i ]_w
[_w j e n i ]_w
[_w tʃ i a o ]_w
[_w p i ɾ a ]_w
[_w n o ɾ i ]_w
[_w w e w a ]_w
[_w a w a ]_w
[_w w i tʃ i ]_w
[_w s e n a ]_w
[_w e m e a ]_w
[_w tʃ a n i ]_w
[_w s i ɾ i ]_w
[_w e t i a ]_w
[_w n a t a ]_w
[_w e k a o ]_w
[_w s a ɾ o ]_w
[_w s a k a ]_w
[_w u s a o ]_w
[_w s i m o ]_w
[_w a i ɾ o ]_w
[_w n a n e ]_w
[_w e ɾ i a ]_w
[_w u s a ]_w
[_w w a ɾ i ]_w
[_w k a ɾ a ]_w
[_w u ɾ u o ]_w
[_w a k i ]_w
[_w t i o i ]_w
[_w k e w a ]_w
[_w a k a i ]_w
[_w m e s a ]_w
[_w n a p e ]_w
[_w tʃ e s a ]_w
[_w e h s o ]_w
[_w a s i a ]_w
[_w t i o ]_w
[_w ɾ a n i ]_w
[_w n a k a ]_w
[_w a m o ]_w
[_w p a s o ]_w
[_w k u tʃ i ]_w
[_w ɾ o m a ]_w
[_w n e k a ]_w
[_w e k a e ]_w
[_w k a p i ]_w
[_w u p i o ]_w
[_w e ɾ i ]_w
[_w w i k a ]_w
[_w m u a ]_w
[_w t o m i ]_w
[_w e p i ]_w
[_w w i s a ]_w
[_w o i s a ]_w
[_w ɾ e s i ]_w
[_w t u o ]_w
[_w k a k a ]_w
[_w o k a o ]_w
[_w s o p a ]_w
[_w o i k a ]_w
[_w w a tʃ e ]_w
[_w w i t u ]_w
[_w p u s a ]_w
[_w e n o i ]_w
[_w s u w e ]_w
[_w t e ɾ i ]_w
[_w tʃ i a i ]_w
[_w w e n a ]_w
[_w tʃ e k a ]_w
[_w e h h e ]_w
[_w a ɾ a o ]_w
[_w k u a ]_w
[_w a t a e ]_w
[_w m a n a ]_w
[_w n e a i ]_w
[_w k i j a ]_w
[_w o k a ]_w
[_w tʃ e ɾ e ]_w
[_w w e a ]_w
[_w k o tʃ i ]_w
[_w ɾ o t i ]_w
[_w a h p o ]_w
[_w w a t o ]_w
[_w s i k a ]_w
[_w n e h u ]_w
[_w i k a o ]_w
[_w w i n o ]_w
[_w ɾ a h a ]_w
[_w p a ɾ i ]_w
[_w u p u a ]_w
[_w m u p u ]_w
[_w ɾ e w i ]_w
[_w e k a ]_w
[_w t i a ]_w
[_w ɾ e m o ]_w
[_w p i n i ]_w
[_w n a n i ]_w
[_w p i e ]_w
[_w o w e ]_w
[_w i k a ]_w
[_w w a k a ]_w
[_w k o ɾ o ]_w
[_w w a ɾ a ]_w
[_w m e t e ]_w
[_w k i tʃ i ]_w
[_w s a n ]_w
[_w n a p i ]_w
[_w i h k o ]_w
[_w a ʔ tʃ i ]_w
[_w n a k o ]_w
[_w t i ɾ o ]_w
[_w p o tʃ i ]_w
[_w w e ʔ e ]_w
[_w ɾ i a o ]_w
[_w j e k a ]_w
[_w e ʔ t a ]_w
[_w a k i a ]_w
[_w e ʔ w i ]_w
[_w m e tʃ a ]_w
[_w p o e o ]_w
[_w n e k u ]_w
[_w m o ɾ i ]_w
[_w ɾ i s i ]_w
[_w w e m e ]_w
[_w o n a ]_w
[_w tʃ e tʃ e ]_w
[_w t i a o ]_w
[_w n a ɾ a ]_w
[_w t o p a ]_w
[_w k e ɾ e ]_w
[_w w e a i ]_w
[_w t a tʃ i ]_w
[_w i h tʃ i ]_w
[_w w a s i ]_w
[_w tʃ i o ]_w
[_w tʃ o ʔ i ]_w
[_w i j a ]_w
[_w t a k a ]_w
[_w t o a ]_w
[_w tʃ i a e ]_w
[_w p u a ]_w
[_w w e t a ]_w
[_w k i p o ]_w
[_w e ɾ a e ]_w
[_w o i ɾ e ]_w
[_w k a n a ]_w
[_w s e n u ]_w
[_w ɾ e w a ]_w
[_w i n j a ]_w
[_w w e h ]_w
[_w s a ɾ i ]_w
[_w e m e ]_w
[_w ɾ e k a ]_w
[_w p u tʃ i ]_w
[_w ɾ i s a ]_w
[_w a s i o ]_w
[_w o s e a ]_w
[_w m i ɾ i ]_w
[_w p a ɾ a ]_w
[_w s a ɾ a ]_w
[_w i k a e ]_w
[_w u j a ]_w
[_w m e k a ]_w
[_w s e h a ]_w
[_w a ɾ i o ]_w
[_w ɾ i n o ]_w
[_w e tʃ i ]_w
[_w m i ɾ a ]_w
[_w m u tʃ e ]_w
[_w n o e a ]_w
[_w o s e o ]_w
[_w o i s i ]_w
[_w w a s a ]_w
[_w ɾ u h o ]_w
[_w p a o ]_w
[_w n i ʔ o ]_w
